date,series,value,month,year,mom_pct_change,yoy_pct_change,rolling_12m_avg,rolling_12m_volatility,zscore_mom,price_jump_flag
1970-01-01,"COAL_AUS | Coal, Australian",7.8,1970-01-01,1970,,,,,,0
1970-02-01,"COAL_AUS | Coal, Australian",7.8,1970-02-01,1970,0.0,,,,-0.09250935484480527,0
1970-03-01,"COAL_AUS | Coal, Australian",7.8,1970-03-01,1970,0.0,,7.8,,-0.09250935484480527,0
1970-04-01,"COAL_AUS | Coal, Australian",7.8,1970-04-01,1970,0.0,,7.8,,-0.09250935484480527,0
1970-05-01,"COAL_AUS | Coal, Australian",7.8,1970-05-01,1970,0.0,,7.8,,-0.09250935484480527,0
1970-06-01,"COAL_AUS | Coal, Australian",7.8,1970-06-01,1970,0.0,,7.8,,-0.09250935484480527,0
1970-07-01,"COAL_AUS | Coal, Australian",7.8,1970-07-01,1970,0.0,,7.8,0.0,-0.09250935484480527,0
1970-08-01,"COAL_AUS | Coal, Australian",7.8,1970-08-01,1970,0.0,,7.8,0.0,-0.09250935484480527,0
1970-09-01,"COAL_AUS | Coal, Australian",7.8,1970-09-01,1970,0.0,,7.8,0.0,-0.09250935484480527,0
1970-10-01,"COAL_AUS | Coal, Australian",7.8,1970-10-01,1970,0.0,,7.8,0.0,-0.09250935484480527,0
1970-11-01,"COAL_AUS | Coal, Australian",7.8,1970-11-01,1970,0.0,,7.8,0.0,-0.09250935484480527,0
1970-12-01,"COAL_AUS | Coal, Australian",7.8,1970-12-01,1970,0.0,,7.8,0.0,-0.09250935484480527,0
1971-01-01,"COAL_AUS | Coal, Australian",8.68,1971-01-01,1971,11.282051282051286,11.282051282051286,7.873333333333334,3.2568476723517366,1.500284804336207,0
1971-02-01,"COAL_AUS | Coal, Australian",8.68,1971-02-01,1971,0.0,11.282051282051286,7.946666666666666,3.2568476723517366,-0.09250935484480527,0
1971-03-01,"COAL_AUS | Coal, Australian",8.68,1971-03-01,1971,0.0,11.282051282051286,8.02,3.2568476723517366,-0.09250935484480527,0
1971-04-01,"COAL_AUS | Coal, Australian",8.68,1971-04-01,1971,0.0,11.282051282051286,8.093333333333332,3.2568476723517366,-0.09250935484480527,0
1971-05-01,"COAL_AUS | Coal, Australian",8.68,1971-05-01,1971,0.0,11.282051282051286,8.166666666666666,3.2568476723517366,-0.09250935484480527,0
1971-06-01,"COAL_AUS | Coal, Australian",8.68,1971-06-01,1971,0.0,11.282051282051286,8.24,3.2568476723517366,-0.09250935484480527,0
1971-07-01,"COAL_AUS | Coal, Australian",8.68,1971-07-01,1971,0.0,11.282051282051286,8.313333333333334,3.2568476723517366,-0.09250935484480527,0
1971-08-01,"COAL_AUS | Coal, Australian",8.68,1971-08-01,1971,0.0,11.282051282051286,8.386666666666667,3.2568476723517366,-0.09250935484480527,0
1971-09-01,"COAL_AUS | Coal, Australian",8.68,1971-09-01,1971,0.0,11.282051282051286,8.459999999999999,3.2568476723517366,-0.09250935484480527,0
1971-10-01,"COAL_AUS | Coal, Australian",8.68,1971-10-01,1971,0.0,11.282051282051286,8.533333333333333,3.2568476723517366,-0.09250935484480527,0
1971-11-01,"COAL_AUS | Coal, Australian",8.68,1971-11-01,1971,0.0,11.282051282051286,8.606666666666667,3.2568476723517366,-0.09250935484480527,0
1971-12-01,"COAL_AUS | Coal, Australian",8.68,1971-12-01,1971,0.0,11.282051282051286,8.68,3.2568476723517366,-0.09250935484480527,0
1972-01-01,"COAL_AUS | Coal, Australian",9.6,1972-01-01,1972,10.599078341013835,10.599078341013835,8.756666666666666,3.0596903666731348,1.4038630381017474,0
1972-02-01,"COAL_AUS | Coal, Australian",9.6,1972-02-01,1972,0.0,10.599078341013835,8.833333333333334,3.0596903666731348,-0.09250935484480527,0
1972-03-01,"COAL_AUS | Coal, Australian",9.6,1972-03-01,1972,0.0,10.599078341013835,8.909999999999998,3.0596903666731348,-0.09250935484480527,0
1972-04-01,"COAL_AUS | Coal, Australian",9.6,1972-04-01,1972,0.0,10.599078341013835,8.986666666666666,3.0596903666731348,-0.09250935484480527,0
1972-05-01,"COAL_AUS | Coal, Australian",9.6,1972-05-01,1972,0.0,10.599078341013835,9.063333333333333,3.0596903666731348,-0.09250935484480527,0
1972-06-01,"COAL_AUS | Coal, Australian",9.6,1972-06-01,1972,0.0,10.599078341013835,9.14,3.0596903666731348,-0.09250935484480527,0
1972-07-01,"COAL_AUS | Coal, Australian",9.6,1972-07-01,1972,0.0,10.599078341013835,9.216666666666667,3.0596903666731348,-0.09250935484480527,0
1972-08-01,"COAL_AUS | Coal, Australian",9.6,1972-08-01,1972,0.0,10.599078341013835,9.293333333333333,3.0596903666731348,-0.09250935484480527,0
1972-09-01,"COAL_AUS | Coal, Australian",9.6,1972-09-01,1972,0.0,10.599078341013835,9.37,3.0596903666731348,-0.09250935484480527,0
1972-10-01,"COAL_AUS | Coal, Australian",9.6,1972-10-01,1972,0.0,10.599078341013835,9.446666666666667,3.0596903666731348,-0.09250935484480527,0
1972-11-01,"COAL_AUS | Coal, Australian",9.6,1972-11-01,1972,0.0,10.599078341013835,9.523333333333332,3.0596903666731348,-0.09250935484480527,0
1972-12-01,"COAL_AUS | Coal, Australian",9.6,1972-12-01,1972,0.0,10.599078341013835,9.6,3.0596903666731348,-0.09250935484480527,0
1973-01-01,"COAL_AUS | Coal, Australian",11.48,1973-01-01,1973,19.583333333333353,19.583333333333353,9.756666666666666,5.653221385815091,2.672255506688147,1
1973-02-01,"COAL_AUS | Coal, Australian",11.48,1973-02-01,1973,0.0,19.583333333333353,9.913333333333332,5.653221385815091,-0.09250935484480527,0
1973-03-01,"COAL_AUS | Coal, Australian",11.48,1973-03-01,1973,0.0,19.583333333333353,10.07,5.653221385815091,-0.09250935484480527,0
1973-04-01,"COAL_AUS | Coal, Australian",11.48,1973-04-01,1973,0.0,19.583333333333353,10.226666666666667,5.653221385815091,-0.09250935484480527,0
1973-05-01,"COAL_AUS | Coal, Australian",11.48,1973-05-01,1973,0.0,19.583333333333353,10.383333333333333,5.653221385815091,-0.09250935484480527,0
1973-06-01,"COAL_AUS | Coal, Australian",11.48,1973-06-01,1973,0.0,19.583333333333353,10.540000000000001,5.653221385815091,-0.09250935484480527,0
1973-07-01,"COAL_AUS | Coal, Australian",11.48,1973-07-01,1973,0.0,19.583333333333353,10.696666666666667,5.653221385815091,-0.09250935484480527,0
1973-08-01,"COAL_AUS | Coal, Australian",11.48,1973-08-01,1973,0.0,19.583333333333353,10.853333333333333,5.653221385815091,-0.09250935484480527,0
1973-09-01,"COAL_AUS | Coal, Australian",11.48,1973-09-01,1973,0.0,19.583333333333353,11.01,5.653221385815091,-0.09250935484480527,0
1973-10-01,"COAL_AUS | Coal, Australian",11.48,1973-10-01,1973,0.0,19.583333333333353,11.166666666666666,5.653221385815091,-0.09250935484480527,0
1973-11-01,"COAL_AUS | Coal, Australian",11.48,1973-11-01,1973,0.0,19.583333333333353,11.323333333333332,5.653221385815091,-0.09250935484480527,0
1973-12-01,"COAL_AUS | Coal, Australian",11.48,1973-12-01,1973,0.0,19.583333333333353,11.48,5.653221385815091,-0.09250935484480527,0
1974-01-01,"COAL_AUS | Coal, Australian",16.89,1974-01-01,1974,47.125435540069695,47.125435540069695,11.930833333333334,13.603941447368797,6.5606352374422094,1
1974-02-01,"COAL_AUS | Coal, Australian",16.89,1974-02-01,1974,0.0,47.125435540069695,12.381666666666666,13.603941447368797,-0.09250935484480527,0
1974-03-01,"COAL_AUS | Coal, Australian",16.89,1974-03-01,1974,0.0,47.125435540069695,12.832500000000001,13.603941447368797,-0.09250935484480527,0
1974-04-01,"COAL_AUS | Coal, Australian",16.89,1974-04-01,1974,0.0,47.125435540069695,13.283333333333333,13.603941447368797,-0.09250935484480527,0
1974-05-01,"COAL_AUS | Coal, Australian",16.89,1974-05-01,1974,0.0,47.125435540069695,13.734166666666667,13.603941447368797,-0.09250935484480527,0
1974-06-01,"COAL_AUS | Coal, Australian",16.89,1974-06-01,1974,0.0,47.125435540069695,14.185,13.603941447368797,-0.09250935484480527,0
1974-07-01,"COAL_AUS | Coal, Australian",16.89,1974-07-01,1974,0.0,47.125435540069695,14.635833333333336,13.603941447368797,-0.09250935484480527,0
1974-08-01,"COAL_AUS | Coal, Australian",16.89,1974-08-01,1974,0.0,47.125435540069695,15.086666666666666,13.603941447368797,-0.09250935484480527,0
1974-09-01,"COAL_AUS | Coal, Australian",16.89,1974-09-01,1974,0.0,47.125435540069695,15.537500000000001,13.603941447368797,-0.09250935484480527,0
1974-10-01,"COAL_AUS | Coal, Australian",16.89,1974-10-01,1974,0.0,47.125435540069695,15.988333333333332,13.603941447368797,-0.09250935484480527,0
1974-11-01,"COAL_AUS | Coal, Australian",16.89,1974-11-01,1974,0.0,47.125435540069695,16.43916666666667,13.603941447368797,-0.09250935484480527,0
1974-12-01,"COAL_AUS | Coal, Australian",16.89,1974-12-01,1974,0.0,47.125435540069695,16.89,13.603941447368797,-0.09250935484480527,0
1975-01-01,"COAL_AUS | Coal, Australian",26.84,1975-01-01,1975,58.91059798697454,58.91059798697454,17.719166666666666,17.006024802950787,8.22445837041209,1
1975-02-01,"COAL_AUS | Coal, Australian",26.84,1975-02-01,1975,0.0,58.91059798697454,18.548333333333336,17.006024802950787,-0.09250935484480527,0
1975-03-01,"COAL_AUS | Coal, Australian",26.84,1975-03-01,1975,0.0,58.91059798697454,19.3775,17.006024802950787,-0.09250935484480527,0
1975-04-01,"COAL_AUS | Coal, Australian",26.84,1975-04-01,1975,0.0,58.91059798697454,20.206666666666667,17.006024802950787,-0.09250935484480527,0
